,,,,,,,,,,,,,,,,,,,,,
Iterations per tickets _6/20/17,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ticket Number,Assigned To (CSR),Client/Account Name,Severity,Service Offering,Additional Info 1,Additional Info 2,Category,Status,Last Status Modified Date,Date Created-Format,Date Last Modified-Format,Response Date-Format,Date Closed-Format,PER Phase Date-Format,Parent Ticket Number,Child Ticket Number,PER Phase,Production Implementation Tracking,Summary,Time Spent (min),Age(Days)
5377-13154535,User28,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-14.28.28,2017-01-12-04.46.48,2017-06-19-14.28.28,2017-01-12-07.40.18,,2017-05-24-00.00.00,,5377-13267983,Production Validation,MAY/ELR,CEVA PER GHO-2016-08839 EDI - US Domestic - Watkins Mfg is transitioning to a new FPC and needs existing EDI to be transtion to the new FPC,2026,159
5377-13154535,User28,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-14.28.28,2017-01-12-04.46.48,2017-06-19-14.28.28,2017-01-12-07.40.18,,2017-05-24-00.00.00,,5377-13291987,Production Validation,MAY/ELR,CEVA PER GHO-2016-08839 EDI - US Domestic - Watkins Mfg is transitioning to a new FPC and needs existing EDI to be transtion to the new FPC,2026,159
5377-13154535,User28,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-14.28.28,2017-01-12-04.46.48,2017-06-19-14.28.28,2017-01-12-07.40.18,,2017-05-24-00.00.00,,5377-13432010,Production Validation,MAY/ELR,CEVA PER GHO-2016-08839 EDI - US Domestic - Watkins Mfg is transitioning to a new FPC and needs existing EDI to be transtion to the new FPC,2026,159
5377-13156815,User6,Customer78,Sev 4,B2B Services Integration Plus (Managed Services),JAN/N FEB/C4(8.5) MAR/C5(10)R2(3.5) JUN/R1(1)C3(6),,S - PER - New Map,Waiting - Client,2017-06-19-10.58.29,2017-01-13-04.43.02,2017-06-19-10.58.29,2017-01-13-04.53.20,,,,5377-13162433,,,Fw: EDI - Canada - client Boutique Pro Golf - Message 810-: :DEVA_CAN_BPG_O_810_4010,2860,158
5377-13156815,User6,Customer78,Sev 4,B2B Services Integration Plus (Managed Services),JAN/N FEB/C4(8.5) MAR/C5(10)R2(3.5) JUN/R1(1)C3(6),,S - PER - New Map,Waiting - Client,2017-06-19-10.58.29,2017-01-13-04.43.02,2017-06-19-10.58.29,2017-01-13-04.53.20,,,,5377-13204643,,,Fw: EDI - Canada - client Boutique Pro Golf - Message 810-: :DEVA_CAN_BPG_O_810_4010,2860,158
5377-13156815,User6,Customer78,Sev 4,B2B Services Integration Plus (Managed Services),JAN/N FEB/C4(8.5) MAR/C5(10)R2(3.5) JUN/R1(1)C3(6),,S - PER - New Map,Waiting - Client,2017-06-19-10.58.29,2017-01-13-04.43.02,2017-06-19-10.58.29,2017-01-13-04.53.20,,,,5377-13366375,,,Fw: EDI - Canada - client Boutique Pro Golf - Message 810-: :DEVA_CAN_BPG_O_810_4010,2860,158
5377-13168777,User7,Customer86,Sev 3,B2B Services Integration Plus (Managed Services),JAN/C1(5) FEB/R2(4)C2(7.5)M1(.75) MAR/C1(2),,S - PER - New TP,Needs Reply,2017-06-19-23.03.32,2017-01-19-18.37.03,2017-06-19-23.03.32,2017-01-20-08.00.49,,,,5377-13421320,,,PER57 Map change TIMKENST_CAT_O_863_3030 AND  PER FOR NEW CTE SET UP ,1702,152
5377-13168777,User7,Customer86,Sev 3,B2B Services Integration Plus (Managed Services),JAN/C1(5) FEB/R2(4)C2(7.5)M1(.75) MAR/C1(2),,S - PER - New TP,Needs Reply,2017-06-19-23.03.32,2017-01-19-18.37.03,2017-06-19-23.03.32,2017-01-20-08.00.49,,,,5377-13421321,,,PER57 Map change TIMKENST_CAT_O_863_3030 AND  PER FOR NEW CTE SET UP ,1702,152
5377-13172540,User21,Customer87,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - New Map,Release - Monthly,2017-06-19-13.54.11,2017-01-23-01.11.54,2017-06-19-13.54.11,2017-01-23-03.11.40,,,5377-13061090,,,,Create Delfor map AEE_SUP_I_DELFOR_D96A_ORA_V1,1170,148
5377-13173089,User12,Customer88,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-10.50.37,2017-01-23-06.38.08,2017-06-19-10.50.37,2017-01-24-02.17.39,,,,5377-13175661,On Hold,,"New Envelope required for CR7948 SEVEN 7 AMAZON DESADV

",251,148
5377-13178299,User29,Customer89,Sev 3,B2B Services Integration Plus (Managed Services),,,S - Configuration changes,Reopened,2017-06-19-16.12.13,2017-01-25-03.58.59,2017-06-19-16.12.13,2017-01-31-05.57.36,2017-05-15-05.03.00,,,5377-13193825,,,PER NISSAN COMPASS for Sekurit MExico,115,110
5377-13178299,User29,Customer89,Sev 3,B2B Services Integration Plus (Managed Services),,,S - Configuration changes,Reopened,2017-06-19-16.12.13,2017-01-25-03.58.59,2017-06-19-16.12.13,2017-01-31-05.57.36,2017-05-15-05.03.00,,,5377-13472100,,,PER NISSAN COMPASS for Sekurit MExico,115,110
5377-13184453,User19,Customer25,Sev 2,B2B Services Integration Plus (Managed Services),FEB/N MAR/C1(1.5) JUN/M1(1),,S - PER - New Map,Waiting - Client,2017-06-19-15.09.11,2017-01-27-14.38.55,2017-06-19-15.09.11,2017-01-27-14.41.11,,2017-01-30-00.00.00,5377-13031191,,CTE Technical Implementation,,PER KENNAMETAL - AMAZON NEW O855 SETUP-KENN_AMAZON_O_855_4010,690,144
5377-13187305,User30,Customer90,Sev 3,B2B Services Integration Plus (Managed Services),,,S - Map Research,Release - Monthly,2017-06-19-10.08.10,2017-01-30-11.33.52,2017-06-19-10.08.10,2017-01-30-12.03.27,2017-04-17-10.21.00,,,,,,MRS_CSG_DIAG_I_856_4010,322,77
5377-13197292,User31,Customer34,Sev 3,B2B Services Integration Plus (Managed Services),FEB/R2(2.5) MAR/A1(.5)R1(.5) MAY/W,,S - PER - New Map,Waiting - Partner,2017-06-19-08.07.09,2017-02-03-15.03.56,2017-06-19-08.07.09,2017-02-03-15.54.57,,2017-02-16-00.00.00,,,Technical Review,,PER Husqvarna REX-Home Depot Hand Held Consignment PO - New Map:  HSQ_REX_HOMEDEPCSN_I_850_4060_CSV,1029,137
5377-13203307,User19,Customer52,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Work In Progress,2017-06-19-14.39.36,2017-02-07-17.03.33,2017-06-19-14.39.36,2017-02-08-07.44.40,,2017-03-07-00.00.00,,5377-13478370,CTE Technical Implementation,,"PER AVENTEC - BMWSLP PARENT - NEW EDIFACT TP SETUP I-DELFOR, I-DELJIT, O-DESADV",310,133
5377-13203307,User19,Customer52,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Work In Progress,2017-06-19-14.39.36,2017-02-07-17.03.33,2017-06-19-14.39.36,2017-02-08-07.44.40,,2017-03-07-00.00.00,,5377-13478482,CTE Technical Implementation,,"PER AVENTEC - BMWSLP PARENT - NEW EDIFACT TP SETUP I-DELFOR, I-DELJIT, O-DESADV",310,133
5377-13203307,User19,Customer52,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Work In Progress,2017-06-19-14.39.36,2017-02-07-17.03.33,2017-06-19-14.39.36,2017-02-08-07.44.40,,2017-03-07-00.00.00,,5377-13478501,CTE Technical Implementation,,"PER AVENTEC - BMWSLP PARENT - NEW EDIFACT TP SETUP I-DELFOR, I-DELJIT, O-DESADV",310,133
5377-13204754,User32,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - Communication,Waiting - Partner,2017-06-19-13.22.46,2017-02-08-10.13.16,2017-06-19-13.22.46,2017-02-08-10.19.48,,,5377-13201675,,,,CEVA PER GHO-2017-00757 AS2 connectivity setup with RR,1836,132
5377-13221294,User23,Customer91,Sev 4,B2B Services Integration Plus (Managed Services),FEB/NC2(2)R1(1.5)   MAR/C1(1.5) JUN/R1(1),,S - PER - New Map,Waiting - Client,2017-06-19-11.41.23,2017-02-16-16.01.26,2017-06-19-11.41.23,2017-02-21-07.19.17,,2017-02-14-00.00.00,5377-13215474,,Technical Review,,New PER Customer - Costco Canada - IB 860 map - CROC_CostcoCA_I_860_4010_SAP,766,124
5377-13228567,User16,Customer38,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Waiting - Client,2017-06-19-15.50.28,2017-02-21-09.39.24,2017-06-19-15.50.28,2017-02-21-09.42.57,,2017-02-27-00.00.00,,,CTE Valiation/Testing,,New TP 3M existing map SIAL_3M_O_855_4010,208,119
5377-13231505,User33,Customer92,Sev 4,B2B Services Integration Plus (Managed Services),FEB/N JUN/C1(1),,S - PER - New Map,Waiting - Client,2017-06-19-11.27.26,2017-02-22-11.57.18,2017-06-19-11.27.26,2017-02-28-07.43.27,,2017-02-21-00.00.00,5377-13223627,,CTE Technical Implementation,,Allied Electronics Per - 850 Map - BRADY_ALLIED_I_850_4010_SPE,554,118
5377-13231946,User27,Customer75,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Waiting - Client,2017-06-19-17.11.58,2017-02-22-14.52.28,2017-06-19-17.11.58,2017-02-22-15.01.06,,2017-02-22-00.00.00,,,Production Technical Implementation,,RE: PER SDA Laboratories 850/856/810,70,118
5377-13234785,User7,Customer30,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New Map,Closed,2017-06-19-17.39.25,2017-02-23-17.55.20,2017-06-19-17.39.25,2017-02-24-07.26.01,2017-06-19-17.39.25,2017-05-19-00.00.00,,5377-13247534,Production Validation,"MAY/MERC/JUN-X,JUN/E","PER: Do It Best [In PROD 05/19]
IP:  Not provided, Egress:  Not provided, Class C:  Not provided.  ",470,116
5377-13234785,User7,Customer30,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New Map,Closed,2017-06-19-17.39.25,2017-02-23-17.55.20,2017-06-19-17.39.25,2017-02-24-07.26.01,2017-06-19-17.39.25,2017-05-19-00.00.00,,5377-13247542,Production Validation,"MAY/MERC/JUN-X,JUN/E","PER: Do It Best [In PROD 05/19]
IP:  Not provided, Egress:  Not provided, Class C:  Not provided.  ",470,116
5377-13234785,User7,Customer30,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New Map,Closed,2017-06-19-17.39.25,2017-02-23-17.55.20,2017-06-19-17.39.25,2017-02-24-07.26.01,2017-06-19-17.39.25,2017-05-19-00.00.00,,5377-13247565,Production Validation,"MAY/MERC/JUN-X,JUN/E","PER: Do It Best [In PROD 05/19]
IP:  Not provided, Egress:  Not provided, Class C:  Not provided.  ",470,116
5377-13234785,User7,Customer30,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New Map,Closed,2017-06-19-17.39.25,2017-02-23-17.55.20,2017-06-19-17.39.25,2017-02-24-07.26.01,2017-06-19-17.39.25,2017-05-19-00.00.00,,5377-13247569,Production Validation,"MAY/MERC/JUN-X,JUN/E","PER: Do It Best [In PROD 05/19]
IP:  Not provided, Egress:  Not provided, Class C:  Not provided.  ",470,116
5377-13234785,User7,Customer30,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New Map,Closed,2017-06-19-17.39.25,2017-02-23-17.55.20,2017-06-19-17.39.25,2017-02-24-07.26.01,2017-06-19-17.39.25,2017-05-19-00.00.00,,5377-13464635,Production Validation,"MAY/MERC/JUN-X,JUN/E","PER: Do It Best [In PROD 05/19]
IP:  Not provided, Egress:  Not provided, Class C:  Not provided.  ",470,116
5377-13235183,User32,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),MAR/NR2(3)C1(4) APR/C1(3) MAY/C1(5.5)R2(3.5) JUN/C2(8),,S - PER - New Map,Needs Reply,2017-06-19-15.41.34,2017-02-24-02.03.18,2017-06-19-15.41.34,2017-03-01-12.16.33,,2017-02-23-00.00.00,5377-13206564,,CTE Technical Implementation,,CEVA PER GHO-2017-00631 EDI - Air - Avaya TMS EDI OFS 204 project: New map CEVA_AVAYA_OFSUS_204_IB_IFTMIN,2488,116
5377-13238696,User2,Customer37,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-12.42.00,2017-02-27-02.27.57,2017-06-19-12.42.00,2017-02-27-07.53.46,,,,5377-13342740,CTE Technical Implementation,,"CEAC 7429105 (CQ# ISTRK04417721) : PER  created for transaction ORDER, ORDER RESPONSE, INVOICE",383,113
5377-13238696,User2,Customer37,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-12.42.00,2017-02-27-02.27.57,2017-06-19-12.42.00,2017-02-27-07.53.46,,,,5377-13342750,CTE Technical Implementation,,"CEAC 7429105 (CQ# ISTRK04417721) : PER  created for transaction ORDER, ORDER RESPONSE, INVOICE",383,113
5377-13238696,User2,Customer37,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-12.42.00,2017-02-27-02.27.57,2017-06-19-12.42.00,2017-02-27-07.53.46,,,,5377-13342755,CTE Technical Implementation,,"CEAC 7429105 (CQ# ISTRK04417721) : PER  created for transaction ORDER, ORDER RESPONSE, INVOICE",383,113
5377-13240089,User7,Customer29,Sev 4,B2B Services Integration Plus (Managed Services),MAR/NM1(2)C1(1) MAY/M1(.5),,S - PER - New Map,Needs Reply,2017-06-19-12.08.56,2017-02-27-14.54.15,2017-06-19-12.08.56,2017-02-27-15.01.43,,2017-03-28-00.00.00,,,CTE Valiation/Testing,,FW: FW: PER 3MGLobal Outbound 855 4010 HSCO_3MGLOBAL_O_855_4010 [In CTE 03/28 CL],767,113
5377-13241680,User6,Customer7,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Needs Reply,2017-06-19-09.15.21,2017-02-28-08.32.04,2017-06-19-09.15.21,2017-03-01-02.41.16,,,,5377-13270632,,,PER_New TP - Cypress 112587,227,112
5377-13241680,User6,Customer7,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Needs Reply,2017-06-19-09.15.21,2017-02-28-08.32.04,2017-06-19-09.15.21,2017-03-01-02.41.16,,,,5377-13270640,,,PER_New TP - Cypress 112587,227,112
5377-13241680,User6,Customer7,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Needs Reply,2017-06-19-09.15.21,2017-02-28-08.32.04,2017-06-19-09.15.21,2017-03-01-02.41.16,,,,5377-13270648,,,PER_New TP - Cypress 112587,227,112
5377-13241680,User6,Customer7,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Needs Reply,2017-06-19-09.15.21,2017-02-28-08.32.04,2017-06-19-09.15.21,2017-03-01-02.41.16,,,,5377-13270658,,,PER_New TP - Cypress 112587,227,112
5377-13241680,User6,Customer7,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Needs Reply,2017-06-19-09.15.21,2017-02-28-08.32.04,2017-06-19-09.15.21,2017-03-01-02.41.16,,,,5377-13278539,,,PER_New TP - Cypress 112587,227,112
5377-13244393,User19,Customer80,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - Communication,Needs Reply,2017-06-19-09.59.44,2017-03-01-08.49.53,2017-06-19-09.59.44,2017-03-01-08.53.52,,2017-03-21-00.00.00,,5377-13346001,Technical Review,,PER NOVITEX - ROYAL BANK CAN - POSITVE PAY FF PASSTHR,527,111
5377-13244393,User19,Customer80,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - Communication,Needs Reply,2017-06-19-09.59.44,2017-03-01-08.49.53,2017-06-19-09.59.44,2017-03-01-08.53.52,,2017-03-21-00.00.00,,5377-13396562,Technical Review,,PER NOVITEX - ROYAL BANK CAN - POSITVE PAY FF PASSTHR,527,111
5377-13244393,User19,Customer80,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - Communication,Needs Reply,2017-06-19-09.59.44,2017-03-01-08.49.53,2017-06-19-09.59.44,2017-03-01-08.53.52,,2017-03-21-00.00.00,,5377-13396870,Technical Review,,PER NOVITEX - ROYAL BANK CAN - POSITVE PAY FF PASSTHR,527,111
5377-13244393,User19,Customer80,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - Communication,Needs Reply,2017-06-19-09.59.44,2017-03-01-08.49.53,2017-06-19-09.59.44,2017-03-01-08.53.52,,2017-03-21-00.00.00,,5377-13452988,Technical Review,,PER NOVITEX - ROYAL BANK CAN - POSITVE PAY FF PASSTHR,527,111
5377-13245557,User34,Customer108,Sev 4,B2B Services Integration Plus (Managed Services),MAR/NM1(1.5),,S - PER - New Map,Closed,2017-06-19-14.04.23,2017-03-01-15.05.37,2017-06-19-14.04.23,2017-03-02-14.27.58,2017-06-19-14.04.23,2017-03-09-00.00.00,5377-13228786,,Production Validation,"MAR/ME  RC/MAR-X
client requested map change post go-live","PER - General Plumbing - New OB 810 map: TOTO_GENPL_O_810_4010
Warranty ends June 13, 2017",380,110
5377-13246431,User2,Customer37,Sev 2,B2B Services Integration Plus (Managed Services),MAR/N APR/C2(3) MAY/R1(.5)C1(1) JUN/R1(1),,S - PER - New Map,Waiting - Client,2017-06-19-06.11.49,2017-03-02-01.27.12,2017-06-19-06.11.49,2017-03-03-09.24.58,,,5377-13204519,,,,"Create new ORDCHG map
MCRN_FLEXI_I_ORDCHG_D97A",869,110
5377-13246470,User36,Customer37,Sev 3,B2B Services Integration Plus (Managed Services),MAR/N APR/C1(1),,S - PER - New Map,Assigned,2017-06-19-06.09.55,2017-03-02-01.58.14,2017-06-19-06.09.55,2017-03-06-09.04.20,,,5377-13204519,,,,Create new ORDCHG HR map - MCRN_FLEXI_I_ORDCHG_HR_D97A,491,110
5377-13247534,User7,Customer30,Sev 4,B2B Services Integration Plus (Managed Services),MAR/R1(2)N APR/M1(1.08) MAY/C1(2)R1(1.5) JUN/R1(1),,S - PER - New Map,Closed,2017-06-19-17.39.37,2017-03-02-11.36.27,2017-06-19-17.39.37,2017-03-03-01.53.39,2017-06-19-17.39.37,2017-05-22-00.00.00,5377-13234785,,Production Validation,"MAY/ME,RC/JUN-X,JUN/E",PER - New Map - AXLTNM_DOITBEST_O_855_4010 [In PROD 05/22],1194,109
5377-13247565,User7,Customer30,Sev 4,B2B Services Integration Plus (Managed Services),MAR/NC1(2.75) APR/C1(2) MAY/A1(.5)R1(1.5)C1(1.5),,S - PER - New Map,Closed,2017-06-19-17.37.50,2017-03-02-11.45.26,2017-06-19-17.37.50,2017-03-06-08.22.21,2017-06-19-17.37.50,2017-05-19-00.00.00,5377-13234785,,Production Validation,"MAY/ME,RC/JUN-X,JUN/E",PER - New Map - AXLTNM_DOITBEST_O_810_4010 [In PROD 05/19],1121,109
5377-13247780,User38,Customer30,Sev 4,B2B Services Integration Plus (Managed Services),MAR/NC1(3) APR/C1(1) JUN/R1(1),,S - PER - New Map,Assigned,2017-06-19-23.25.19,2017-03-02-13.00.06,2017-06-19-23.25.19,2017-03-06-08.36.55,,2017-03-02-00.00.00,5377-13234839,,CTE Technical Implementation,,PER - New Map - AXLTNM_ORGILL_O_810_4010,708,110
5377-13250375,User3,Customer109,Sev 3,B2B Services Integration Plus (Managed Services),MAR/N MAY/C1(3) JUN/M2(1.5)C2(3),,S - PER - New Map,Assigned,2017-06-19-16.34.47,2017-03-03-15.49.55,2017-06-19-16.34.47,2017-03-03-16.00.55,,2017-03-13-00.00.00,,5377-13368568,Technical Review,,PER New 810 Map for Ferguson IR_SCH_FERGUSON_O_810_4010,893,109
5377-13255579,User2,Customer117,Sev 2,B2B Services Integration Plus (Managed Services),MAR/C3(9.5)R1(2) JUN/R1(2)A1(.25),,S - PER - Map Change,Waiting - Client,2017-06-19-16.18.57,2017-03-07-06.58.07,2017-06-19-16.18.57,2017-03-09-07.30.44,,,5377-13209898,,,,SILABS_AVNETEU_O_5C4_V0104 map change,1100,105
5377-13255765,User22,Customer37,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-12.43.33,2017-03-07-08.10.08,2017-06-19-12.43.33,2017-03-07-08.23.24,,2017-03-09-00.00.00,,5377-13260913,CTE Technical Implementation,,PER - Expeditors 856 setup,121,105
5377-13255765,User22,Customer37,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-12.43.33,2017-03-07-08.10.08,2017-06-19-12.43.33,2017-03-07-08.23.24,,2017-03-09-00.00.00,,5377-13263777,CTE Technical Implementation,,PER - Expeditors 856 setup,121,105
5377-13260939,User18,Customer22,Sev 4,B2B Services Integration Plus (Managed Services),MAR/WC1(1.5),,S - PER - New Map,Waiting - Client,2017-06-19-02.31.47,2017-03-09-05.06.30,2017-06-19-02.31.47,2017-03-09-11.15.19,,2017-06-19-00.00.00,5377-13153585,,Production Validation,JUN/M,PER new map for 3M Global   SNI_SNC_3MGLOBAL_O_210_4010,615,103
5377-13262280,User35,Customer60,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New Map,Waiting - Client,2017-06-19-11.53.47,2017-03-09-14.19.04,2017-06-19-11.53.47,2017-03-09-14.23.16,,2017-03-28-00.00.00,,5377-13298496,CTE Valiation/Testing,,"PER Cell Gene CARDINAL TP Setup, AS2 and maps",832,103
5377-13262280,User35,Customer60,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New Map,Waiting - Client,2017-06-19-11.53.47,2017-03-09-14.19.04,2017-06-19-11.53.47,2017-03-09-14.23.16,,2017-03-28-00.00.00,,5377-13298527,CTE Valiation/Testing,,"PER Cell Gene CARDINAL TP Setup, AS2 and maps",832,103
5377-13263777,User22,Customer37,Sev 3,B2B Services Integration Plus (Managed Services),MAR/N,,S - PER - New Map,Waiting - Client,2017-06-19-12.43.54,2017-03-10-05.07.31,2017-06-19-12.43.54,2017-03-16-14.35.57,,,5377-13255765,,,,PER - Expeditors 856 setup - New map using base map MCRN_EXEP_O_856_4010,540,102
5377-13264267,User3,Customer118,Sev 3,B2B Services Integration Plus (Managed Services),MAR/R1(2) APR/C1(2)R2(2.5) JUN/M1(1),,S - Map Change,Waiting - Client,2017-06-19-13.59.12,2017-03-10-09.56.21,2017-06-19-13.59.12,2017-03-13-08.07.25,,,,,,,Map Research - WHEA_FISH_I_850_4010 - Address mapping verification requested,779,102
5377-13264450,User9,Customer119,Sev 4,B2B Services Integration Plus (Managed Services),MAR/NC1(2) MAY/M1(.5)C1(3) JUN/C1(2),,S - PER - New Map,Release - Monthly,2017-06-19-10.38.34,2017-03-10-11.01.21,2017-06-19-10.38.34,2017-03-14-16.48.17,,2017-03-10-00.00.00,5377-13252259,,,,PER  New Map - NERA_CITADIUM_O_INVOIC_D96A_SPE,821,102
5377-13267624,User37,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),MAR/NC1(3) APR/R1(1.5)C2(2) MAY/C3(5.5)R1(1) JUN/C2(4.5)R2(2.5),,S - PER - New Map,Needs Reply,2017-06-19-18.13.10,2017-03-13-05.35.40,2017-06-19-18.13.10,2017-03-22-15.04.19,,,5377-13232975,,,,CEVA PER GHO-2017-00527 EDI - Ocean - Heinz - 301 between OFS and CargoSmart NEW MAP: CEVA_HEINZ_O_301_4010 FOR HEINZ,2703,99
5377-13268171,User22,Customer120,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-23.24.28,2017-03-13-08.44.37,2017-06-19-23.24.28,2017-03-13-08.57.25,,2017-06-13-00.00.00,,5377-13342849,Production Validation,JUN/ECR,PER - Wells Fargo - Acknowledgement Setup,1039,99
5377-13268171,User22,Customer120,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-23.24.28,2017-03-13-08.44.37,2017-06-19-23.24.28,2017-03-13-08.57.25,,2017-06-13-00.00.00,,5377-13348767,Production Validation,JUN/ECR,PER - Wells Fargo - Acknowledgement Setup,1039,99
5377-13270632,User39,Customer7,Sev 3,B2B Services Integration Plus (Managed Services),MAR/NC2(2.5) APR/C1(1) MAY/R1(1)C3(4),,S - PER - New Map,Assigned,2017-06-19-21.20.22,2017-03-14-06.05.46,2017-06-19-21.20.22,2017-03-17-08.27.08,2017-06-19-05.06.00,,5377-13241680,5377-13322685,,,PER_New TP - Cypress 112587: ORDER MAP EDIFACT D97A -  ELEC_CYPRE_O_ORDERS_97A,839,97
5377-13270640,User6,Customer7,Sev 3,B2B Services Integration Plus (Managed Services),MAY/C2(3),,S - PER - New Map,Closed,2017-06-19-05.06.01,2017-03-14-06.13.54,2017-06-19-05.06.01,2017-04-28-04.50.51,2017-06-19-05.06.01,,5377-13241680,,,,PER_New TP - Cypress 112587: ORDRSP MAP EDIFACT D97A : :ELEC_CYPRESS_I_ORDRSP_97A,498,97
5377-13274030,User40,Customer4,Sev 3,B2B Services Integration Plus (Managed Services),MAR/NC1(1) APR/C2(3) MAY/A1(1.5)C6(16.5) JUN/R2(2.5)C5(12.5),,S - PER - New Map,Needs Reply,2017-06-19-14.55.59,2017-03-15-12.49.51,2017-06-19-14.55.59,2017-03-22-10.09.55,,2017-03-13-00.00.00,5377-13232969,,CTE Technical Implementation,,CEVA PER  GHO-2017-00300 EDI - Ocean - Heinz - 300 between CargoSmart and OFS - New map X12 300 to IFTMIN FF - CEVA_HEINZ_IB_300_4010_FF,3283,97
5377-13275412,User25,Customer20,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-20.19.20,2017-03-16-03.50.06,2017-06-19-20.19.20,2017-03-21-03.40.19,,2017-03-22-00.00.00,,5377-13287635,CTE Valiation/Testing,,"SGCIO: Request to Raise new PER: BOS VA30, VA35 and VA36 flow",334,96
5377-13275412,User25,Customer20,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-20.19.20,2017-03-16-03.50.06,2017-06-19-20.19.20,2017-03-21-03.40.19,,2017-03-22-00.00.00,,5377-13470430,CTE Valiation/Testing,,"SGCIO: Request to Raise new PER: BOS VA30, VA35 and VA36 flow",334,96
5377-13275499,User28,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - Communication,Needs Reply,2017-06-19-10.07.55,2017-03-16-04.51.14,2017-06-19-10.07.55,2017-03-22-15.55.04,,2017-03-16-00.00.00,,5377-13439389,Technical Review,,CEVA PER GHO-2017-01873 Halliburton FTP3 Server Upgrade,1981,96
5377-13275814,User32,Customer4,Sev 2,B2B Services Integration Plus (Managed Services),MAR/N APR/C1(2) MAY/M1(.2)F1(1)C3(13.5) JUN/C7(16.5)R2(1.25),MAY/Q1,S - PER - New Map,Waiting - Client,2017-06-19-02.55.15,2017-03-16-07.50.07,2017-06-19-02.55.15,2017-03-24-10.36.09,,,5377-13249063,,,,CEVA PER Child Ticket - GHO-2017-00526 EDI - Ocean - Heinz - 304 between OFS and CargoSmart. Map name:CEVA_Heinz_OFS_304_I_4010_IFTMIN,3525,96
5377-13275880,User9,Customer116,Sev 4,B2B Services Integration Plus (Managed Services),MAR/W JUN/C1(2),,S - PER - New Map,Release - Monthly,2017-06-19-06.27.35,2017-03-16-08.30.55,2017-06-19-06.27.35,2017-03-16-08.36.23,,2017-03-16-00.00.00,,,Technical Review,,PER EWIE 850: :    STGA_EWIE_I_850_4010,132,96
5377-13277914,User13,Customer103,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New Map,Closed,2017-06-19-16.01.59,2017-03-17-02.16.10,2017-06-19-16.01.59,2017-03-17-07.37.13,2017-06-19-16.01.59,2017-04-24-00.00.00,,5377-13286021,Production Complete,APR/MER  RC/MAY-X,PER for new map creation for ARNLOG - 861 - Production Issues and Completions,76,94
